Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QI","Production Indices","050","Bangladesh","432","Gross Production Index Number (2014-2016 = 100)","01379.01","Areca nuts","2024","2024","","157.99","E","Estimated value"
"QI","Production Indices","050","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","01379.01","Areca nuts","2024","2024","","145.2","E","Estimated value"
"QI","Production Indices","050","Bangladesh","432","Gross Production Index Number (2014-2016 = 100)","01312","Bananas","2024","2024","","104.05","E","Estimated value"
"QI","Production Indices","050","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","01312","Bananas","2024","2024","","95.56","E","Estimated value"
"QI","Production Indices","050","Bangladesh","432","Gross Production Index Number (2014-2016 = 100)","0115","Barley","2024","2024","","65.73","E","Estimated value"
"QI","Production Indices","050","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","0115","Barley","2024","2024","","60.39","E","Estimated value"
"QI","Production Indices","050","Bangladesh","432","Gross Production Index Number (2014-2016 = 100)","01701","Beans, dry","2024","2024","","123.27","E","Estimated value"
"QI","Production Indices","050","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","01701","Beans, dry","2024","2024","","113.23","E","Estimated value"
"QI","Production Indices","050","Bangladesh","432","Gross Production Index Number (2014-2016 = 100)","01212","Cabbages","2024","2024","","175.03","E","Estimated value"
"QI","Production Indices","050","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","01212","Cabbages","2024","2024","","160.87","E","Estimated value"
"QI","Production Indices","050","Bangladesh","432","Gross Production Index Number (2014-2016 = 100)","01229","Cantaloupes and other melons","2024","2024","","146.98","E","Estimated value"
"QI","Production Indices","050","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","01229","Cantaloupes and other melons","2024","2024","","134.9","E","Estimated value"
"QI","Production Indices","050","Bangladesh","432","Gross Production Index Number (2014-2016 = 100)","01447","Castor oil seeds","2024","2024","","104.62","E","Estimated value"
"QI","Production Indices","050","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","01447","Castor oil seeds","2024","2024","","96.07","E","Estimated value"
"QI","Production Indices","050","Bangladesh","432","Gross Production Index Number (2014-2016 = 100)","01213","Cauliflowers and broccoli","2024","2024","","179.04","E","Estimated value"
"QI","Production Indices","050","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","01213","Cauliflowers and broccoli","2024","2024","","164.58","E","Estimated value"
"QI","Production Indices","050","Bangladesh","432","Gross Production Index Number (2014-2016 = 100)","01703","Chick peas, dry","2024","2024","","79.48","E","Estimated value"
"QI","Production Indices","050","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","01703","Chick peas, dry","2024","2024","","73","E","Estimated value"
"QI","Production Indices","050","Bangladesh","432","Gross Production Index Number (2014-2016 = 100)","01652","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","2024","2024","","248.7","E","Estimated value"
"QI","Production Indices","050","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","01652","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","2024","2024","","228.49","E","Estimated value"
"QI","Production Indices","050","Bangladesh","432","Gross Production Index Number (2014-2016 = 100)","01460","Coconuts, in shell","2024","2024","","108.65","E","Estimated value"
"QI","Production Indices","050","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","01460","Coconuts, in shell","2024","2024","","99.79","E","Estimated value"
"QI","Production Indices","050","Bangladesh","432","Gross Production Index Number (2014-2016 = 100)","01232","Cucumbers and gherkins","2024","2024","","214.77","E","Estimated value"
"QI","Production Indices","050","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","01232","Cucumbers and gherkins","2024","2024","","197.58","E","Estimated value"
"QI","Production Indices","050","Bangladesh","432","Gross Production Index Number (2014-2016 = 100)","01233","Eggplants (aubergines)","2024","2024","","122.18","E","Estimated value"
"QI","Production Indices","050","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","01233","Eggplants (aubergines)","2024","2024","","112.25","E","Estimated value"
"QI","Production Indices","050","Bangladesh","432","Gross Production Index Number (2014-2016 = 100)","0232","Eggs from other birds in shell, fresh, n.e.c.","2024","2024","","220.12","E","Estimated value"
"QI","Production Indices","050","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","0232","Eggs from other birds in shell, fresh, n.e.c.","2024","2024","","202.22","E","Estimated value"
"QI","Production Indices","050","Bangladesh","432","Gross Production Index Number (2014-2016 = 100)","01657","Ginger, raw","2024","2024","","105.15","E","Estimated value"
"QI","Production Indices","050","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","01657","Ginger, raw","2024","2024","","96.56","E","Estimated value"
