education_id,area_id,year,indicator_id,sex,residence,value
1,1,2022,21,All,All,74
2,1,2022,21,Male,All,76
3,1,2022,21,Female,All,72
4,1,2022,21,Hijra,All,53
5,1,2022,21,All,Rural,71
6,1,2022,21,Male,Rural,73
7,1,2022,21,Female,Rural,69
8,1,2022,21,Hijra,Rural,51
9,1,2022,21,All,Urban,81
10,1,2022,21,Male,Urban,83
11,1,2022,21,Female,Urban,79
12,1,2022,21,Hijra,Urban,55
13,2,2022,21,All,All,77
14,2,2022,21,Male,All,78
15,2,2022,21,Female,All,76
16,2,2022,21,Hijra,All,65
17,2,2022,21,All,Rural,75
18,2,2022,21,Male,Rural,76
19,2,2022,21,Female,Rural,75
20,2,2022,21,Hijra,Rural,66
21,2,2022,21,All,Urban,82
22,2,2022,21,Male,Urban,83
23,2,2022,21,Female,Urban,81
24,2,2022,21,Hijra,Urban,64
25,3,2022,21,All,All,76
26,3,2022,21,Male,All,77
27,3,2022,21,Female,All,75
28,3,2022,21,Hijra,All,50
29,3,2022,21,All,Rural,74
30,3,2022,21,Male,Rural,75
31,3,2022,21,Female,Rural,73
32,3,2022,21,Hijra,Rural,50
33,3,2022,21,All,Urban,80
34,3,2022,21,Male,Urban,82
35,3,2022,21,Female,Urban,79
36,3,2022,21,Hijra,Urban,51
37,4,2022,21,All,All,78
38,4,2022,21,Male,All,80
39,4,2022,21,Female,All,76
40,4,2022,21,Hijra,All,56
41,4,2022,21,All,Rural,73
42,4,2022,21,Male,Rural,75
43,4,2022,21,Female,Rural,71
44,4,2022,21,Hijra,Rural,54
45,4,2022,21,All,Urban,83
46,4,2022,21,Male,Urban,85
47,4,2022,21,Female,Urban,81
48,4,2022,21,Hijra,Urban,56
49,5,2022,21,All,All,75
50,5,2022,21,Male,All,77
51,5,2022,21,Female,All,72
52,5,2022,21,Hijra,All,59
53,5,2022,21,All,Rural,72
54,5,2022,21,Male,Rural,75
55,5,2022,21,Female,Rural,70
56,5,2022,21,Hijra,Rural,60
57,5,2022,21,All,Urban,81
58,5,2022,21,Male,Urban,83
59,5,2022,21,Female,Urban,79
60,5,2022,21,Hijra,Urban,59
61,6,2022,21,All,All,67
