price_id,district_id,commodity_id,market_name,price_date,unit,price_type
1,1,4,Dhaka Central Market,2026-01-15,kg,Wholesale
2,1,2,Dhaka Town Market,2026-01-15,kg,Retail
3,1,3,Dhaka Central Market,2026-01-15,kg,Retail
4,1,8,Dhaka Central Market,2026-01-15,500g pack,Retail
5,1,5,Dhaka Central Market,2026-03-15,kg,Retail
6,1,7,Dhaka New Market,2026-03-15,kg,Retail
7,1,6,Dhaka Town Market,2026-03-15,litre,Wholesale
8,1,1,Dhaka Boro Bazar,2026-03-15,kg,Retail
9,1,4,Dhaka New Market,2026-05-15,kg,Wholesale
10,1,3,Dhaka New Market,2026-05-15,kg,Wholesale
11,1,1,Dhaka Boro Bazar,2026-05-15,kg,Wholesale
12,1,7,Dhaka Central Market,2026-05-15,kg,Wholesale
13,1,6,Dhaka Boro Bazar,2026-07-15,litre,Wholesale
14,1,7,Dhaka New Market,2026-07-15,kg,Retail
15,1,4,Dhaka Central Market,2026-07-15,kg,Retail
16,1,5,Dhaka New Market,2026-07-15,kg,Wholesale
17,1,4,Dhaka Boro Bazar,2026-09-15,kg,Retail
18,1,5,Dhaka Boro Bazar,2026-09-15,kg,Retail
19,1,8,Dhaka Town Market,2026-09-15,500g pack,Wholesale
20,1,2,Dhaka New Market,2026-09-15,kg,Wholesale
21,1,1,Dhaka New Market,2026-11-15,kg,Retail
22,1,2,Dhaka Boro Bazar,2026-11-15,kg,Retail
23,1,3,Dhaka New Market,2026-11-15,kg,Wholesale
24,1,6,Dhaka Boro Bazar,2026-11-15,litre,Retail
25,2,2,Faridpur Town Market,2026-01-15,kg,Retail
26,2,3,Faridpur Central Market,2026-01-15,kg,Wholesale
27,2,1,Faridpur Central Market,2026-01-15,kg,Wholesale
28,2,8,Faridpur New Market,2026-01-15,500g pack,Wholesale
29,2,2,Faridpur Boro Bazar,2026-03-15,kg,Retail
30,2,6,Faridpur Boro Bazar,2026-03-15,litre,Wholesale
31,2,8,Faridpur Boro Bazar,2026-03-15,500g pack,Wholesale
32,2,1,Faridpur Town Market,2026-03-15,kg,Retail
33,2,5,Faridpur Boro Bazar,2026-05-15,kg,Wholesale
34,2,6,Faridpur Boro Bazar,2026-05-15,litre,Wholesale
35,2,4,Faridpur Boro Bazar,2026-05-15,kg,Wholesale
36,2,8,Faridpur New Market,2026-05-15,500g pack,Retail
37,2,2,Faridpur Town Market,2026-07-15,kg,Retail
38,2,3,Faridpur Boro Bazar,2026-07-15,kg,Retail
39,2,8,Faridpur New Market,2026-07-15,500g pack,Wholesale
40,2,6,Faridpur New Market,2026-07-15,litre,Retail
41,2,6,Faridpur Boro Bazar,2026-09-15,litre,Wholesale
42,2,2,Faridpur Central Market,2026-09-15,kg,Wholesale
43,2,8,Faridpur Town Market,2026-09-15,500g pack,Retail
44,2,4,Faridpur New Market,2026-09-15,kg,Wholesale
45,2,2,Faridpur Boro Bazar,2026-11-15,kg,Wholesale
46,2,3,Faridpur Town Market,2026-11-15,kg,Wholesale
47,2,5,Faridpur Central Market,2026-11-15,kg,Retail
48,2,7,Faridpur Central Market,2026-11-15,kg,Wholesale
49,3,2,Gazipur Town Market,2026-01-15,kg,Wholesale
50,3,8,Gazipur Town Market,2026-01-15,500g pack,Retail
51,3,5,Gazipur Town Market,2026-01-15,kg,Wholesale
52,3,3,Gazipur New Market,2026-01-15,kg,Wholesale
53,3,8,Gazipur Town Market,2026-03-15,500g pack,Wholesale
54,3,4,Gazipur Boro Bazar,2026-03-15,kg,Wholesale
55,3,1,Gazipur Boro Bazar,2026-03-15,kg,Retail
56,3,6,Gazipur Boro Bazar,2026-03-15,litre,Retail
57,3,3,Gazipur New Market,2026-05-15,kg,Wholesale
58,3,2,Gazipur Boro Bazar,2026-05-15,kg,Retail
59,3,4,Gazipur Boro Bazar,2026-05-15,kg,Retail
60,3,8,Gazipur Town Market,2026-05-15,500g pack,Wholesale
61,3,2,Gazipur New Market,2026-07-15,kg,Retail
62,3,1,Gazipur Town Market,2026-07-15,kg,Retail
63,3,7,Gazipur Town Market,2026-07-15,kg,Retail
64,3,3,Gazipur Central Market,2026-07-15,kg,Wholesale
65,3,4,Gazipur Central Market,2026-09-15,kg,Wholesale
66,3,1,Gazipur Town Market,2026-09-15,kg,Wholesale
67,3,8,Gazipur Boro Bazar,2026-09-15,500g pack,Wholesale
68,3,5,Gazipur Town Market,2026-09-15,kg,Wholesale
69,3,2,Gazipur Town Market,2026-11-15,kg,Wholesale
70,3,1,Gazipur Boro Bazar,2026-11-15,kg,Retail
71,3,3,Gazipur New Market,2026-11-15,kg,Retail
72,3,8,Gazipur Town Market,2026-11-15,500g pack,Retail
73,4,6,Gopalganj New Market,2026-01-15,litre,Retail
74,4,2,Gopalganj Boro Bazar,2026-01-15,kg,Retail
75,4,4,Gopalganj Town Market,2026-01-15,kg,Retail
76,4,8,Gopalganj Central Market,2026-01-15,500g pack,Wholesale
77,4,2,Gopalganj New Market,2026-03-15,kg,Retail
78,4,8,Gopalganj Central Market,2026-03-15,500g pack,Wholesale
79,4,3,Gopalganj Boro Bazar,2026-03-15,kg,Retail
80,4,1,Gopalganj New Market,2026-03-15,kg,Retail
81,4,2,Gopalganj Central Market,2026-05-15,kg,Retail
82,4,8,Gopalganj Town Market,2026-05-15,500g pack,Retail
83,4,4,Gopalganj Town Market,2026-05-15,kg,Retail
84,4,5,Gopalganj Boro Bazar,2026-05-15,kg,Retail
85,4,5,Gopalganj Town Market,2026-07-15,kg,Retail
86,4,6,Gopalganj New Market,2026-07-15,litre,Retail
87,4,2,Gopalganj Central Market,2026-07-15,kg,Wholesale
88,4,4,Gopalganj New Market,2026-07-15,kg,Retail
89,4,1,Gopalganj Town Market,2026-09-15,kg,Retail
90,4,6,Gopalganj New Market,2026-09-15,litre,Wholesale
91,4,2,Gopalganj New Market,2026-09-15,kg,Wholesale
92,4,4,Gopalganj Town Market,2026-09-15,kg,Retail
93,4,3,Gopalganj Boro Bazar,2026-11-15,kg,Wholesale
94,4,5,Gopalganj New Market,2026-11-15,kg,Retail
95,4,1,Gopalganj Central Market,2026-11-15,kg,Wholesale
96,4,6,Gopalganj New Market,2026-11-15,litre,Wholesale
97,5,8,Kishoreganj New Market,2026-01-15,500g pack,Wholesale
98,5,6,Kishoreganj Central Market,2026-01-15,litre,Retail
99,5,5,Kishoreganj Town Market,2026-01-15,kg,Wholesale
100,5,1,Kishoreganj Central Market,2026-01-15,kg,Wholesale
101,5,2,Kishoreganj Boro Bazar,2026-03-15,kg,Retail
102,5,7,Kishoreganj Town Market,2026-03-15,kg,Wholesale
103,5,4,Kishoreganj New Market,2026-03-15,kg,Retail
104,5,6,Kishoreganj New Market,2026-03-15,litre,Retail
105,5,3,Kishoreganj Boro Bazar,2026-05-15,kg,Wholesale
106,5,4,Kishoreganj Boro Bazar,2026-05-15,kg,Retail
107,5,5,Kishoreganj New Market,2026-05-15,kg,Retail
108,5,2,Kishoreganj Town Market,2026-05-15,kg,Retail
109,5,5,Kishoreganj Central Market,2026-07-15,kg,Wholesale
110,5,1,Kishoreganj Boro Bazar,2026-07-15,kg,Wholesale
111,5,3,Kishoreganj Boro Bazar,2026-07-15,kg,Wholesale
112,5,6,Kishoreganj New Market,2026-07-15,litre,Wholesale
113,5,3,Kishoreganj Town Market,2026-09-15,kg,Retail
114,5,2,Kishoreganj Town Market,2026-09-15,kg,Wholesale
115,5,5,Kishoreganj Boro Bazar,2026-09-15,kg,Wholesale
116,5,7,Kishoreganj Central Market,2026-09-15,kg,Wholesale
117,5,4,Kishoreganj Boro Bazar,2026-11-15,kg,Retail
118,5,7,Kishoreganj Central Market,2026-11-15,kg,Wholesale
119,5,5,Kishoreganj Town Market,2026-11-15,kg,Wholesale
120,5,2,Kishoreganj Boro Bazar,2026-11-15,kg,Wholesale
121,6,4,Madaripur Town Market,2026-01-15,kg,Retail
122,6,8,Madaripur Boro Bazar,2026-01-15,500g pack,Retail
123,6,2,Madaripur Central Market,2026-01-15,kg,Wholesale
124,6,6,Madaripur Boro Bazar,2026-01-15,litre,Wholesale
125,6,7,Madaripur Boro Bazar,2026-03-15,kg,Retail
126,6,3,Madaripur New Market,2026-03-15,kg,Wholesale
127,6,8,Madaripur Central Market,2026-03-15,500g pack,Wholesale
128,6,2,Madaripur New Market,2026-03-15,kg,Wholesale
129,6,5,Madaripur New Market,2026-05-15,kg,Wholesale
130,6,4,Madaripur Town Market,2026-05-15,kg,Retail
131,6,3,Madaripur Boro Bazar,2026-05-15,kg,Wholesale
132,6,2,Madaripur Central Market,2026-05-15,kg,Wholesale
133,6,2,Madaripur Boro Bazar,2026-07-15,kg,Wholesale
134,6,3,Madaripur Central Market,2026-07-15,kg,Retail
135,6,1,Madaripur Boro Bazar,2026-07-15,kg,Retail
136,6,4,Madaripur New Market,2026-07-15,kg,Retail
137,6,5,Madaripur New Market,2026-09-15,kg,Retail
138,6,4,Madaripur Central Market,2026-09-15,kg,Wholesale
139,6,8,Madaripur Town Market,2026-09-15,500g pack,Wholesale
